"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01005","2","10","71","0","2023","1","",19,460,454,455,6315220,0,0,1065,"",5.30,1.96,1.91,1.93,2.43,0.00,0.00,1.26,"",0,0.0,-59,-11.4,-91,-16.7,-90,-16.5,323296,5.4,0,0.0,0,0.0,206,24.0
"01005","3","10","71","0","2023","1","",30,959,960,951,10215884,518410,1135,821,"",3.51,1.30,1.29,1.29,1.54,1.25,1.27,1.19,"",-1,-3.2,12,1.3,28,3.0,17,1.8,902275,9.7,12171,2.4,-2786,-71.1,57,7.5
"01005","5","10","71","0","2023","1","",528,6310,6311,6264,68046065,40413340,195850,832,"",0.92,0.95,0.95,0.95,0.92,1.00,1.00,0.97,"",-12,-2.2,214,3.5,39,0.6,23,0.4,4627965,7.3,2047402,5.3,-265366,-57.5,46,5.9
"01007","0","10","70","0","2023","1","",419,4791,4829,4795,61181540,25072597,166919,979,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,6.1,64,1.4,-31,-0.6,-32,-0.7,6944556,12.8,1516039,6.4,-114650,-40.7,111,12.8
"01007","1","10","71","0","2023","1","",9,61,64,66,1158198,0,0,1399,"",4.16,0.67,0.69,0.72,0.78,0.00,0.00,1.12,"",-1,-10.0,-10,-14.1,-3,-4.5,-2,-2.9,76998,7.1,0,0.0,0,0.0,188,15.5
"01007","2","10","71","0","2023","1","",13,179,175,171,2706565,0,0,1190,"",5.08,1.24,1.19,1.17,1.46,0.00,0.00,1.22,"",0,0.0,-49,-21.5,-51,-22.6,-54,-24.0,181364,7.2,0,0.0,0,0.0,332,38.7
"01007","3","10","71","0","2023","1","",31,1037,1047,1060,10142455,457790,916,744,"",5.07,2.28,2.28,2.32,2.14,1.80,1.21,0.93,"",0,0.0,74,7.7,74,7.6,72,7.3,570067,6.0,77712,20.4,-1744,-65.6,-11,-1.5
"01007","5","10","71","0","2023","1","",366,3514,3543,3498,47174322,24614807,166003,1031,"",0.90,0.86,0.86,0.85,0.89,0.99,1.00,1.04,"",25,7.3,49,1.4,-51,-1.4,-48,-1.4,6116127,14.9,1438327,6.2,-112906,-40.5,138,15.5
"01009","0","10","70","0","2023","1","",925,8728,8841,8801,93083826,40685818,199482,815,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",44,5.0,174,2.0,164,1.9,79,0.9,6394027,7.4,1514402,3.9,-242364,-54.9,44,5.7
"01009","1","10","71","0","2023","1","",10,89,83,82,1337719,0,0,1215,"",2.10,0.53,0.49,0.49,0.59,0.00,0.00,1.17,"",0,0.0,10,12.7,3,3.8,1,1.2,254399,23.5,0,0.0,0,0.0,173,16.6
"01009","2","10","71","0","2023","1","",11,151,146,149,1575100,0,0,815,"",1.95,0.57,0.54,0.55,0.56,0.00,0.00,1.00,"",0,0.0,-5,-3.2,-8,-5.2,-3,-2.0,179426,12.9,0,0.0,0,0.0,118,16.9
"01009","3","10","71","0","2023","1","",43,1897,1925,1934,19734504,839102,1630,791,"",3.19,2.29,2.29,2.30,2.73,2.03,1.81,1.19,"",-1,-2.3,37,2.0,70,3.8,67,3.6,1340669,7.3,44379,5.6,-3946,-70.8,31,4.1
"01009","5","10","71","0","2023","1","",861,6591,6687,6636,70436503,39846716,197852,816,"",0.96,0.88,0.88,0.88,0.87,0.99,1.00,0.99,"",45,5.5,132,2.0,99,1.5,14,0.2,4619533,7.0,1470023,3.8,-238418,-54.6,44,5.7
"01011","0","10","70","0","2023","1","",211,2648,2619,2638,30633924,15080449,123903,894,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.4,-38,-1.4,-111,-4.1,-84,-3.1,2164246,7.6,233265,1.6,-71964,-36.7,87,10.8
"01011","1","10","71","0","2023","1","",6,31,30,32,523947,0,0,1300,"",5.51,0.61,0.60,0.64,0.70,0.00,0.00,1.14,"",1,20.0,3,10.7,1,3.4,3,10.3,118738,29.3,0,0.0,0,0.0,213,19.6
"01011","2","10","71","0","2023","1","",10,171,164,165,2858426,0,0,1319,"",7.75,2.14,2.05,2.05,3.07,0.00,0.00,1.48,"",0,0.0,-24,-12.3,-31,-15.9,-30,-15.4,289458,11.3,0,0.0,0,0.0,306,30.2
"01011","3","10","71","0","2023","1","",15,313,308,311,3372564,0,0,835,"",4.87,1.25,1.23,1.24,1.42,0.00,0.00,1.15,"",0,0.0,10,3.3,4,1.3,4,1.3,355154,11.8,0,0.0,0,0.0,73,9.6
"01011","5","10","71","0","2023","1","",180,2133,2117,2130,23878987,15080449,123903,864,"",0.88,0.94,0.95,0.94,0.90,1.01,1.00,0.95,"",2,1.1,-27,-1.2,-85,-3.9,-61,-2.8,1400896,6.2,233265,1.6,-71964,-36.7,72,9.1
"01013","0","10","70","0","2023","1","",546,6803,6893,6919,73932859,36569790,306467,828,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,3.4,448,7.0,387,5.9,504,7.9,9434727,14.6,3168867,9.5,-172520,-36.0,56,7.3
"01013","1","10","71","0","2023","1","",6,39,41,42,608900,0,0,1152,"",2.13,0.30,0.31,0.32,0.34,0.00,0.00,1.09,"",0,0.0,-1,-2.5,1,2.5,4,10.5,102173,20.2,0,0.0,0,0.0,161,16.2
"01013","2","10","71","0","2023","1","",12,84,85,88,1167264,0,0,1048,"",3.60,0.41,0.40,0.42,0.52,0.00,0.00,1.27,"",0,0.0,-6,-6.7,-3,-3.4,-1,-1.1,131297,12.7,0,0.0,0,0.0,153,17.1
"01013","3","10","71","0","2023","1","",21,705,698,703,8272912,114796,230,907,"",2.64,1.09,1.06,1.07,1.44,0.31,0.17,1.34,"",-1,-4.5,8,1.1,-4,-0.6,6,0.9,934932,12.7,-21586,-15.8,-725,-75.9,99,12.3
"01013","5","10","71","0","2023","1","",507,5975,6069,6086,63883783,36454994,306237,813,"",0.95,1.03,1.03,1.03,1.00,1.01,1.00,0.97,"",19,3.9,447,8.1,393,6.9,495,8.9,8266325,14.9,3190453,9.6,-171795,-35.9,49,6.4
"01015","0","10","70","0","2023","1","",2770,43586,43859,43738,563941517,204964219,1168697,992,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",75,2.8,411,1.0,326,0.7,219,0.5,82579470,17.2,14041532,7.4,-1046238,-47.2,139,16.3
"01015","1","10","71","0","2023","1","",46,3433,3415,3419,59130487,0,0,1329,"",3.22,4.13,4.08,4.11,4.31,0.00,0.00,1.05,"",-1,-2.1,-389,-10.2,-368,-9.7,-312,-8.4,3925067,7.1,0,0.0,0,0.0,205,18.2
"01015","2","10","71","0","2023","1","",31,1713,1731,1749,24651522,0,0,1095,"",1.83,1.31,1.29,1.31,1.44,0.00,0.00,1.11,"",3,10.7,42,2.5,52,3.1,44,2.6,2444080,11.0,0,0.0,0,0.0,81,8.0
"01015","3","10","71","0","2023","1","",74,6285,6290,6284,74244835,1380843,3866,909,"",1.83,1.52,1.51,1.51,1.70,0.66,0.73,1.12,"",1,1.4,152,2.5,144,2.3,109,1.8,5768448,8.4,83677,6.5,-13248,-77.4,53,6.2
"01015","5","10","71","0","2023","1","",2619,32155,32423,32286,405914673,203583376,1164831,967,"",0.97,0.86,0.86,0.86,0.83,1.01,1.00,0.96,"",72,2.8,606,1.9,498,1.6,378,1.2,70441875,21.0,13957855,7.4,-1032990,-47.0,155,19.1
"01017","0","10","70","0","2023","1","",760,8510,8643,8646,101090654,44820128,258540,904,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",54,7.6,-15,-0.2,13,0.2,94,1.1,10287466,11.3,2629427,6.2,-285070,-52.4,89,10.9
"01017","1","10","71","0","2023","1","",6,52,57,57,904394,0,0,1257,"",1.53,0.32,0.35,0.35,0.37,0.00,0.00,1.09,"",0,0.0,5,10.6,8,16.3,7,14.0,186996,26.1,0,0.0,0,0.0,123,10.8
"01017","2","10","71","0","2023","1","",13,125,129,126,1503953,0,0,913,"",2.80,0.49,0.49,0.48,0.49,0.00,0.00,1.01,"",0,0.0,-9,-6.7,-6,-4.4,-10,-7.4,274138,22.3,0,0.0,0,0.0,212,30.2
"01017","3","10","71","0","2023","1","",48,1484,1497,1497,18313676,364245,1488,944,"",4.33,1.84,1.82,1.82,2.33,0.80,1.27,1.28,"",-8,-14.3,-29,-1.9,-8,-0.5,-2,-0.1,1433223,8.5,26421,7.8,-2033,-57.7,82,9.5
"01017","5","10","71","0","2023","1","",693,6849,6960,6966,80368631,44455883,257052,893,"",0.94,0.94,0.94,0.94,0.92,1.00,1.00,0.97,"",62,9.8,18,0.3,19,0.3,99,1.4,8393109,11.7,2603006,6.2,-283037,-52.4,88,10.9
"01019","0","10","70","0","2023","1","",481,5266,5239,5246,56748402,25964059,157136,831,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,7.1,109,2.1,33,0.6,23,0.4,5336183,10.4,502123,2.0,-177077,-53.0,70,9.2
"01019","1","10","71","0","2023","1","",10,43,45,48,722724,0,0,1226,"",4.03,0.43,0.45,0.48,0.52,0.00,0.00,1.16,"",1,11.1,-3,-6.5,-1,-2.2,2,4.3,116795,19.3,0,0.0,0,0.0,213,21.0
"01019","2","10","71","0","2023","1","",11,73,81,80,948637,0,0,936,"",3.74,0.46,0.51,0.50,0.55,0.00,0.00,1.13,"",0,0.0,4,5.8,7,9.5,7,9.6,180986,23.6,0,0.0,0,0.0,116,14.1
"01019","3","10","71","0","2023","1","",24,1125,1125,1143,12286856,461959,1658,836,"",3.42,2.25,2.25,2.28,2.79,1.75,2.33,1.23,"",0,0.0,10,0.9,1,0.1,20,1.8,637217,5.5,7420,1.6,-1968,-54.3,36,4.5
"01019","5","10","71","0","2023","1","",436,4025,3988,3975,42790185,25502100,155478,824,"",0.93,0.89,0.89,0.89,0.87,0.99,0.99,0.98,"",31,7.7,98,2.5,26,0.7,-6,-0.2,4401185,11.5,494703,2.0,-175109,-53.0,78,10.5
"01021","0","10","70","0","2023","1","",900,9186,9287,9260,106109852,47619947,349720,883,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",56,6.6,225,2.5,243,2.7,189,2.1,12059563,12.8,3406848,7.7,-227561,-39.4,81,10.1
"01021","1","10","71","0","2023","1","",7,65,61,62,949276,0,0,1165,"",1.51,0.37,0.34,0.35,0.37,0.00,0.00,1.03,"",0,0.0,1,1.6,1,1.7,4,6.9,219839,30.1,0,0.0,0,0.0,240,25.9
"01021","2","10","71","0","2023","1","",14,250,252,255,3166602,0,0,965,"",2.54,0.90,0.89,0.90,0.98,0.00,0.00,1.09,"",0,0.0,3,1.2,8,3.3,11,4.5,645845,25.6,0,0.0,0,0.0,174,22.0
"01021","3","10","71","0","2023","1","",35,1647,1662,1641,17005356,1746773,4918,793,"",2.67,1.89,1.88,1.86,2.06,3.62,3.11,1.10,"",0,0.0,45,2.8,51,3.2,3,0.2,951977,5.9,80093,4.8,-7585,-60.7,29,3.8
"01021","5","10","71","0","2023","1","",844,7224,7312,7302,84988618,45873174,344802,898,"",0.96,0.92,0.92,0.92,0.92,0.98,0.99,1.00,"",56,7.1,176,2.5,183,2.6,171,2.4,10241902,13.7,3326755,7.8,-219976,-38.9,88,10.9
"01023","0","10","70","0","2023","1","",366,3360,3350,3330,46747112,19174476,249551,1074,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-43,-1.3,-66,-1.9,-131,-3.8,2013244,4.5,-445434,-2.3,-103984,-29.4,70,7.0
"01023","1","10","71","0","2023","1","",7,25,28,26,369658,0,0,1080,"",3.71,0.39,0.44,0.41,0.32,0.00,0.00,0.79,"",-1,-12.5,1,4.2,4,16.7,1,4.0,84818,29.8,0,0.0,0,0.0,180,20.0
"01023","2","10","71","0","2023","1","",11,55,63,66,544210,0,0,683,"",4.92,0.54,0.62,0.65,0.38,0.00,0.00,0.64,"",0,0.0,-5,-8.3,3,5.0,8,13.8,62141,12.9,0,0.0,0,0.0,58,9.3
"01023","3","10","71","0","2023","1","",23,362,360,357,3522943,206923,451,753,"",4.31,1.14,1.13,1.12,0.97,1.06,0.40,0.86,"",0,0.0,1,0.3,5,1.4,4,1.1,225728,6.8,1407,0.7,-1475,-76.6,41,5.8
"01023","5","10","71","0","2023","1","",325,2918,2899,2881,42310301,18967553,249100,1123,"",0.91,1.01,1.01,1.01,1.04,1.00,1.00,1.03,"",1,0.3,-40,-1.4,-78,-2.6,-144,-4.8,1640557,4.0,-446841,-2.3,-102509,-29.2,76,7.3
"01025","0","10","70","0","2023","1","",759,8148,8146,8165,101417631,42901773,230350,957,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,4.4,62,0.8,-27,-0.3,-14,-0.2,5246629,5.5,302812,0.7,-248058,-51.9,49,5.4
"01025","1","10","71","0","2023","1","",13,61,65,61,1141885,0,0,1409,"",3.32,0.39,0.42,0.39,0.46,0.00,0.00,1.15,"",0,0.0,-6,-9.0,0,0.0,-4,-6.2,158841,16.2,0,0.0,0,0.0,257,22.3
"01025","2","10","71","0","2023","1","",16,303,317,320,4304366,0,0,1057,"",3.45,1.24,1.27,1.28,1.40,0.00,0.00,1.11,"",0,0.0,0,0.0,8,2.6,5,1.6,769386,21.8,0,0.0,0,0.0,177,20.1
"01025","3","10","71","0","2023","1","",37,1325,1315,1303,14179049,1799445,4415,830,"",3.34,1.71,1.69,1.67,1.80,4.14,4.23,1.06,"",0,0.0,53,4.2,29,2.3,19,1.5,972008,7.4,161576,9.9,-6915,-61.0,37,4.7
"01025","5","10","71","0","2023","1","",693,6459,6449,6481,81792331,41102328,225935,973,"",0.94,0.93,0.93,0.93,0.93,0.97,0.99,1.00,"",32,4.8,15,0.2,-64,-1.0,-34,-0.5,3346394,4.3,141236,0.3,-241143,-51.6,43,4.6
"01027","0","10","70","0","2023","1","",241,4241,4224,4212,45791917,23212082,115065,834,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,4.8,-23,-0.5,-88,-2.0,-142,-3.3,1638686,3.7,-242390,-1.0,-135209,-54.0,46,5.8
"01027","1","10","71","0","2023","1","",6,43,41,41,625025,0,0,1154,"",4.83,0.53,0.51,0.51,0.56,0.00,0.00,1.08,"",0,0.0,8,22.9,4,10.8,5,13.9,134021,27.3,0,0.0,0,0.0,105,10.0
"01027","2","10","71","0","2023","1","",9,54,55,54,549092,0,0,777,"",6.11,0.42,0.43,0.42,0.39,0.00,0.00,0.93,"",0,0.0,1,1.9,1,1.9,0,0.0,100583,22.4,0,0.0,0,0.0,134,20.8
"01027","3","10","71","0","2023","1","",17,824,815,823,7887482,488913,978,739,"",4.84,2.05,2.03,2.05,2.22,2.08,1.88,1.09,"",0,0.0,20,2.5,19,2.4,19,2.4,1356498,20.8,1350,0.3,-2436,-71.4,112,17.9
"01027","5","10","71","0","2023","1","",209,3320,3313,3294,36730318,22723169,114087,854,"",0.89,0.91,0.92,0.91,0.92,0.99,1.00,1.01,"",11,5.6,-52,-1.5,-112,-3.3,-166,-4.8,47584,0.1,-243740,-1.1,-132773,-53.8,29,3.5
"01029","0","10","70","0","2023","1","",286,2486,2504,2519,33433596,13265197,96622,1027,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,6.7,101,4.2,41,1.7,112,4.7,3501705,11.7,1081936,8.9,-110525,-53.4,75,7.9
"01029","1","10","71","0","2023","1","",8,48,45,45,786283,0,0,1315,"",5.42,1.01,0.94,0.94,0.97,0.00,0.00,1.00,"",1,14.3,1,2.1,-3,-6.2,-3,-6.2,113663,16.9,0,0.0,0,0.0,230,21.2
"01029","2","10","71","0","2023","1","",11,135,135,134,1670375,0,0,954,"",6.29,1.80,1.76,1.74,1.65,0.00,0.00,0.93,"",0,0.0,-13,-8.8,-14,-9.4,-13,-8.8,310355,22.8,0,0.0,0,0.0,247,34.9
"01029","3","10","71","0","2023","1","",30,587,596,599,6652120,818804,1637,861,"",7.19,2.49,2.50,2.49,2.56,6.09,3.74,1.03,"",0,0.0,-25,-4.1,-16,-2.6,-11,-1.8,259962,4.1,-32492,-3.8,-4322,-72.5,57,7.1
"01029","5","10","71","0","2023","1","",237,1716,1728,1741,24324818,12446393,94985,1083,"",0.85,0.81,0.81,0.81,0.84,0.95,0.99,1.04,"",17,7.7,138,8.7,74,4.5,139,8.7,2817725,13.1,1114428,9.8,-106203,-52.8,56,5.5
"01031","0","10","70","0","2023","1","",1295,16687,16742,16658,184319318,92981839,413105,849,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",96,8.0,400,2.5,337,2.1,218,1.3,20915038,12.8,5261719,6.0,-623557,-60.2,82,10.7
"01031","1","10","71","0","2023","1","",16,251,247,257,4635261,0,0,1417,"",2.39,0.79,0.77,0.81,1.03,0.00,0.00,1.31,"",0,0.0,-8,-3.1,-9,-3.5,0,0.0,525611,12.8,0,0.0,0,0.0,189,15.4
"01031","2","10","71","0","2023","1","",22,477,481,485,5559564,0,0,889,"",2.78,0.95,0.94,0.95,0.99,0.00,0.00,1.05,"",1,4.8,31,7.0,27,5.9,25,5.4,900939,19.3,0,0.0,0,0.0,99,12.5
"01031","3","10","71","0","2023","1","",43,2001,2023,2029,23434122,1907455,3950,893,"",2.28,1.26,1.27,1.28,1.64,2.02,2.11,1.29,"",1,2.4,42,2.1,51,2.6,64,3.3,2573070,12.3,38160,2.0,-11643,-74.7,76,9.3
"01031","5","10","71","0","2023","1","",1214,13958,13991,13887,150690371,91074384,409155,831,"",0.96,0.98,0.98,0.98,0.94,0.99,1.00,0.96,"",94,8.4,335,2.5,268,2.0,129,0.9,16915418,12.6,5223559,6.1,-611914,-59.9,80,10.7
"01033","0","10","70","0","2023","1","",1532,23782,23805,24123,342036460,134248102,741249,1101,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",74,5.1,348,1.5,35,0.1,228,1.0,30787151,9.9,4714447,3.6,-966561,-56.6,91,9.0
"01033","1","10","71","0","2023","1","",15,674,687,690,21834560,0,0,2457,"",1.90,1.48,1.51,1.50,2.62,0.00,0.00,1.75,"",0,0.0,49,7.8,60,9.6,54,8.5,2537923,13.2,0,0.0,0,0.0,98,4.2
"01033","2","10","71","0","2023","1","",17,543,647,655,7176936,0,0,898,"",1.82,0.76,0.89,0.89,0.69,0.00,0.00,0.82,"",0,0.0,-2,-0.4,8,1.3,19,3.0,1078555,17.7,0,0.0,0,0.0,125,16.2
"01033","3","10","71","0","2023","1","",49,3377,3357,3375,43265925,1339985,5960,988,"",2.19,1.50,1.48,1.47,1.63,0.98,1.78,1.10,"",0,0.0,43,1.3,9,0.3,1,0.0,478754,1.1,96986,7.8,-5098,-46.1,6,0.6
"01033","5","10","71","0","2023","1","",1451,19188,19114,19403,269759039,132908117,735289,1079,"",0.97,0.94,0.94,0.94,0.91,1.00,1.00,0.97,"",74,5.4,258,1.4,-42,-0.2,154,0.8,26691919,11.0,4617461,3.6,-961463,-56.7,101,10.3
"01035","0","10","70","0","2023","1","",274,3194,3220,3185,34464834,15954199,89197,829,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,186,6.2,173,5.7,195,6.5,3609377,11.7,516612,3.3,-92291,-50.9,42,5.3
"01035","1","10","71","0","2023","1","",5,23,24,25,367522,0,0,1178,"",3.54,0.38,0.39,0.41,0.44,0.00,0.00,1.11,"",0,0.0,1,4.5,2,9.1,3,13.6,69025,23.1,0,0.0,0,0.0,134,12.8
"01035","2","10","71","0","2023","1","",12,164,175,178,2265562,0,0,1011,"",7.17,1.71,1.78,1.83,2.16,0.00,0.00,1.22,"",0,0.0,10,6.5,11,6.7,10,6.0,403300,21.7,0,0.0,0,0.0,127,14.4
"01035","3","10","71","0","2023","1","",22,484,483,480,4925713,87119,174,786,"",5.50,1.60,1.57,1.58,1.84,0.54,0.43,1.16,"",1,4.8,91,23.2,88,22.3,76,18.8,924358,23.1,-9584,-9.9,-503,-74.3,11,1.4
"01035","5","10","71","0","2023","1","",235,2523,2538,2502,26906037,15867080,89023,821,"",0.88,0.92,0.92,0.92,0.90,1.01,1.00,0.98,"",-1,-0.4,84,3.4,72,2.9,106,4.4,2212694,9.0,526196,3.4,-91788,-50.8,40,5.1
"01037","0","10","70","0","2023","1","",156,1512,1544,1536,18332472,8398940,93465,921,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.6,174,13.0,184,13.5,153,11.1,2906190,18.8,1285907,18.1,-18293,-16.4,49,5.6
"01037","1","10","71","0","2023","1","",6,16,16,16,255275,0,0,1227,"",7.45,0.55,0.54,0.55,0.57,0.00,0.00,1.04,"",0,0.0,0,0.0,-1,-5.9,1,6.7,48042,23.2,0,0.0,0,0.0,231,23.2
"01037","2","10","71","0","2023","1","",13,49,48,48,421338,0,0,671,"",13.63,1.08,1.02,1.02,0.76,0.00,0.00,0.73,"",1,8.3,4,8.9,4,9.1,5,11.6,46100,12.3,0,0.0,0,0.0,15,2.3
